Time(ms),X(mT),Y(mT),Z(mT),XY_Angle(deg),XZ_Angle(deg)
10,-2.4780,-2.6611,2.0142,47.04,337.88
20,-2.1973,-2.5513,2.0874,49.26,334.59
30,-2.7588,-2.5757,2.0142,43.03,339.95
40,-2.3315,-2.5757,1.9897,47.85,336.89
50,-2.6733,-2.6123,2.0996,44.34,338.56
60,-2.5269,-2.5024,2.0874,44.72,337.56
70,-2.3315,-2.4658,2.1973,46.60,334.77
80,-2.6611,-2.7100,2.1729,45.52,337.79
90,-2.6733,-2.4780,2.1240,42.83,338.33
100,-2.9297,-2.5635,2.0874,41.19,340.39
110,-2.4658,-2.6367,2.1240,46.92,336.70
120,-2.4658,-2.6001,2.0630,46.52,337.30
130,-2.6123,-2.5513,2.0996,44.32,338.11
140,-2.5757,-2.3926,2.1362,42.89,337.48
150,-2.5757,-2.7710,2.1484,47.09,337.36
160,-2.4902,-2.5635,2.0386,45.83,337.74
170,-2.6245,-2.4414,2.2217,42.93,337.06
180,-2.5635,-2.5024,2.1973,44.31,336.80
190,-2.6489,-2.6123,2.0874,44.60,338.50
200,-2.7222,-2.4170,2.0996,41.60,338.91
210,-2.4414,-2.2827,2.0874,43.08,336.85
220,-2.6367,-2.5879,2.1118,44.46,338.18
230,-2.4292,-2.5757,2.1606,46.68,336.02
240,-2.4536,-2.4658,2.1484,45.14,336.36
250,-2.5146,-2.5879,2.0752,45.82,337.58
260,-2.3926,-2.3926,2.0386,45.00,336.93
270,-2.5513,-2.4658,2.0630,44.02,337.99
280,-2.6978,-2.6001,2.0142,43.94,339.53
290,-2.7832,-2.4658,2.1362,41.54,339.00
300,-2.6367,-2.6001,2.1118,44.60,338.18
310,-2.7832,-2.6489,2.1606,43.58,338.79
320,-2.7100,-2.5024,2.0386,42.72,339.39
330,-2.7344,-2.5879,2.0874,43.42,339.11
340,-2.3804,-2.5146,2.0752,46.57,336.45
350,-2.5635,-2.2461,2.0508,41.22,338.20
360,-2.5879,-2.5146,2.1362,44.18,337.57
370,-2.6611,-2.4780,2.1851,42.96,337.68
380,-2.5879,-2.3682,2.1729,42.46,337.23
390,-2.4414,-2.4414,2.1729,45.00,336.01
400,-2.7222,-2.5635,2.1729,43.28,338.24
410,-2.4414,-2.7954,2.1484,48.87,336.25
420,-2.7222,-2.5391,1.9653,43.01,340.15
430,-2.5879,-2.3071,2.0874,41.72,338.04
440,-2.6001,-2.1606,2.0874,39.73,338.13
450,-2.7832,-2.5391,2.0874,42.37,339.44
460,-2.6123,-2.4292,2.1240,42.92,337.88
470,-2.8442,-2.6123,2.0630,42.57,340.07
480,-2.4658,-2.6245,2.0630,46.79,337.30
490,-2.7466,-2.3682,2.1362,40.77,338.75
500,-2.7954,-2.4048,2.0630,40.70,339.75
510,-2.5635,-2.6978,2.1118,46.46,337.61
520,-2.3682,-2.6001,2.1484,47.67,335.60
530,-2.4414,-2.3682,2.0386,44.13,337.34
540,-2.5635,-2.5757,2.0386,45.14,338.32
550,-2.7222,-2.4780,2.1118,42.31,338.80
560,-2.6611,-2.5391,2.0508,43.66,338.93
570,-2.5757,-2.3926,2.0752,42.89,338.06
580,-2.8076,-2.8564,2.0752,45.49,339.72
590,-2.4170,-2.5146,2.0142,46.13,337.38
600,-2.7222,-2.3315,2.1484,40.58,338.46
610,-2.6611,-2.6855,2.1484,45.26,338.02
620,-2.5757,-2.6611,2.1484,45.93,337.36
630,-2.5391,-2.6245,2.0630,45.95,337.89
640,-2.6367,-2.4902,2.2095,43.36,337.27
650,-2.7100,-2.5879,2.0508,43.68,339.27
660,-2.4658,-2.6978,2.1240,47.57,336.70
670,-2.6489,-2.6245,2.0020,44.73,339.30
680,-2.3926,-2.5513,2.0508,46.84,336.80
690,-2.7100,-2.5391,2.0508,43.14,339.27
700,-2.3682,-2.4048,2.0874,45.44,336.22
710,-2.6733,-2.5513,2.0752,43.66,338.79
720,-2.5757,-2.6855,2.1851,46.20,337.01
730,-2.5879,-2.9175,2.0264,48.43,338.62
740,-2.5879,-2.5146,1.9653,44.18,339.21
750,-2.7100,-2.4902,2.2217,42.58,337.71
760,-2.4902,-2.4902,2.1240,45.00,336.90
770,-2.6978,-2.5879,2.1606,43.81,338.18
780,-2.6245,-2.5391,2.1973,44.05,337.29
790,-2.6733,-2.6855,2.0752,45.13,338.79
800,-2.4658,-2.6367,2.1851,46.92,336.10
810,-2.6001,-2.4658,2.1973,43.48,337.09
820,-2.7344,-2.6611,2.1362,44.22,338.66
830,-2.4170,-2.3926,2.1484,44.71,336.04
840,-2.7222,-2.6855,2.0874,44.61,339.02
850,-2.7588,-2.5391,2.1240,42.63,338.95
860,-2.8198,-2.4292,2.0630,40.74,339.91
870,-2.5757,-2.5269,2.1362,44.45,337.48
880,-2.3560,-2.4170,2.0752,45.73,336.23
890,-2.5391,-2.3804,2.1851,43.15,336.72
900,-2.5513,-2.5757,2.0752,45.27,337.87
910,-2.7588,-2.4902,2.1362,42.07,338.84
920,-2.7100,-2.6978,2.1729,44.87,338.15
930,-2.5269,-2.3682,2.0874,43.14,337.56
940,-2.5879,-2.6367,2.1606,45.54,337.34
950,-2.6367,-2.7344,2.1606,46.04,337.72
960,-2.6001,-2.4170,2.0630,42.91,338.36
970,-2.3682,-2.6611,2.1484,48.33,335.60
980,-2.6001,-2.6855,2.0630,45.93,338.36
990,-2.5757,-2.5391,2.0264,44.59,338.53
1000,-2.7588,-2.4658,2.1851,41.79,338.40
1010,-2.6245,-2.3804,2.0874,42.21,338.31
1020,-2.7832,-2.1973,2.1118,38.29,339.22
1030,-2.7466,-2.7100,2.2095,44.62,338.09
1040,-2.6245,-2.5879,2.1118,44.60,338.08
1050,-2.4414,-2.5146,2.0630,45.85,337.10
1060,-2.6855,-2.4780,2.0386,42.70,339.22
1070,-2.6733,-2.5879,2.1729,44.07,337.88
1080,-2.6367,-2.4658,2.1240,43.08,338.06
1090,-2.6611,-2.4658,2.1851,42.82,337.68
1100,-2.8198,-2.5146,1.9897,41.73,340.57
1110,-2.6367,-2.4536,2.0386,42.94,338.86
1120,-2.5146,-2.3926,2.1484,43.58,336.87
1130,-2.6733,-2.4658,2.0142,42.69,339.36
1140,-2.4414,-2.4292,2.0752,44.86,336.97
1150,-2.6855,-2.4902,2.0874,42.84,338.76
1160,-2.4414,-2.5757,2.1240,46.53,336.49
1170,-2.6611,-2.7710,2.0874,46.16,338.58
1180,-2.5879,-2.3926,2.1484,42.75,337.46
1190,-2.7954,-2.6245,2.0264,43.19,340.08
1200,-2.8198,-2.3682,2.1362,40.02,339.25
1210,-2.6367,-2.6245,2.0386,44.87,338.86
1220,-2.6123,-2.3071,2.0752,41.45,338.34
1230,-2.5879,-2.5146,2.0508,44.18,338.39
1240,-2.6733,-2.5879,2.1362,44.07,338.22
1250,-2.5146,-2.4780,2.1118,44.58,337.22
1260,-2.4048,-2.6855,2.0630,48.16,336.78
1270,-2.6245,-2.6367,2.2461,45.13,336.83
1280,-2.6367,-2.5391,2.0996,43.92,338.29
1290,-2.5391,-2.3071,2.0752,42.26,337.77
1300,-2.5024,-2.4170,2.1362,44.00,336.89
1310,-2.8076,-2.7710,2.1118,44.62,339.39
1320,-2.6855,-2.7344,2.0874,45.52,338.76
1330,-2.4292,-2.3926,2.1362,44.56,336.26
1340,-2.5757,-2.4292,2.1851,43.32,337.01
1350,-2.6245,-2.3926,2.1729,42.35,337.51
1360,-2.6733,-2.3682,2.1118,41.54,338.45
1370,-2.4048,-2.7466,2.1484,48.80,335.93
1380,-2.6733,-2.6123,2.0752,44.34,338.79
1390,-2.6367,-2.6855,2.1118,45.53,338.18
1400,-2.4658,-2.6611,2.1484,47.18,336.46
1410,-2.5757,-2.7710,2.0630,47.09,338.18
1420,-2.4536,-2.6855,2.0874,47.58,336.96
1430,-2.6367,-2.6367,2.1729,45.00,337.61
1440,-2.4414,-2.6367,2.1362,47.20,336.37
1450,-2.7710,-2.3315,2.1118,40.08,339.14
1460,-2.7832,-2.5146,2.1118,42.10,339.22
1470,-2.5635,-2.5391,2.2095,44.73,336.69
1480,-2.5757,-2.4780,2.1729,43.89,337.13
1490,-2.6611,-2.4536,2.1118,42.68,338.36
1500,-2.5635,-2.4292,2.1484,43.46,337.26
1510,-2.4658,-2.5513,2.1729,45.98,336.22
1520,-2.5879,-2.4780,2.0630,43.76,338.27
1530,-2.3682,-2.6001,2.1606,47.67,335.48
1540,-2.7466,-2.5146,2.0508,42.48,339.53
1550,-2.5024,-2.4536,2.0264,44.44,337.96
1560,-2.7588,-2.7222,2.1240,44.62,338.95
1570,-2.7222,-2.6367,2.1240,44.09,338.69
1580,-2.2583,-2.4536,2.0386,47.37,335.71
1590,-2.7710,-2.6489,2.1729,43.71,338.59
1600,-2.7954,-2.4170,2.0752,40.85,339.64
1610,-2.5391,-2.4292,2.0264,43.73,338.25
1620,-2.6611,-2.5146,2.0386,43.38,339.04
1630,-2.4658,-2.3926,2.1484,44.14,336.46
1640,-2.7344,-2.6367,2.0996,43.96,339.00
1650,-2.6367,-2.5146,2.0508,43.64,338.75
1660,-2.4658,-2.6611,2.0874,47.18,337.06
1670,-2.4536,-2.3804,2.0630,44.13,337.20
1680,-2.6611,-2.6855,2.1606,45.26,337.90
1690,-2.6123,-2.5635,2.0996,44.46,338.11
1700,-2.7954,-2.5146,2.1606,41.97,338.87
1710,-2.5513,-2.4536,2.0996,43.88,337.63
1720,-2.6733,-2.6001,2.0996,44.20,338.56
1730,-2.6855,-2.4536,2.0874,42.42,338.76
1740,-2.5879,-2.6123,2.0630,45.27,338.27
1750,-2.5757,-2.5146,2.1240,44.31,337.59
1760,-2.7832,-2.7222,2.0752,44.36,339.55
1770,-2.6855,-2.5146,2.0996,43.12,338.65
1780,-2.6123,-2.6489,2.0386,45.40,338.68
1790,-2.7954,-2.4658,2.1851,41.42,338.65
1800,-2.6489,-2.5635,2.1240,44.06,338.15
1810,-2.4536,-2.6489,2.1362,47.19,336.48
1820,-2.7710,-2.3560,2.1362,40.37,338.92
1830,-2.4780,-2.4170,2.0020,44.29,338.00
1840,-2.4902,-2.5146,2.1118,45.28,337.02
1850,-2.3804,-2.6123,1.9897,47.66,337.32
1860,-2.5391,-2.5757,2.0874,45.41,337.65
1870,-2.6489,-2.6123,2.0264,44.60,339.07
1880,-2.6245,-2.5391,2.2461,44.05,336.83
1890,-2.6123,-2.4536,2.1729,43.21,337.42
1900,-2.3560,-2.6001,2.1240,47.82,335.74
1910,-2.7100,-2.5391,2.1484,43.14,338.38
1920,-2.8198,-2.7344,2.0874,44.12,339.69
1930,-2.7222,-2.6855,2.0752,44.61,339.13
1940,-2.4170,-2.4170,2.1606,45.00,335.92
1950,-2.5635,-2.5024,2.1362,44.31,337.38
1960,-2.4902,-2.4658,2.1484,44.72,336.67
1970,-2.8320,-2.6611,2.2705,43.22,338.16
1980,-2.7954,-2.4658,2.1484,41.42,338.98
1990,-2.8198,-2.3682,2.1606,40.02,339.04
2000,-2.4780,-2.7100,2.1240,47.56,336.80
2010,-2.5146,-2.6001,2.0874,45.96,337.46
2020,-2.8809,-2.3315,2.1362,38.98,339.66
2030,-2.6123,-2.5146,2.1118,43.91,337.99
2040,-2.9053,-2.5024,1.9897,40.74,341.10
2050,-2.5879,-2.5757,2.2217,44.86,336.77
2060,-2.5635,-2.8442,2.0996,47.97,337.73
2070,-2.4292,-2.2949,2.0752,43.37,336.87
2080,-2.3926,-2.6367,2.2095,47.78,335.22
2090,-2.5391,-2.6001,2.0752,45.68,337.77
2100,-2.5146,-2.5879,2.1973,45.82,336.40
2110,-2.7222,-2.3682,2.0142,41.02,339.70
2120,-2.8320,-2.3560,2.0508,39.76,340.10
2130,-2.6367,-2.5024,2.1729,43.50,337.61
2140,-2.6733,-2.7100,2.1362,45.39,338.22
2150,-2.5879,-2.4536,2.1362,43.47,337.57
2160,-2.6855,-2.6367,2.0264,44.47,339.33
2170,-2.6611,-2.6855,2.1606,45.26,337.90
2180,-2.7344,-2.5635,2.0996,43.15,339.00
2190,-2.4048,-2.6733,2.1729,48.03,335.69
2200,-2.6367,-2.4536,2.0630,42.94,338.63
2210,-2.5391,-2.2827,2.0630,41.96,337.89
2220,-2.7588,-2.7222,2.0996,44.62,339.17
2230,-2.6001,-2.4780,2.1484,43.62,337.55
2240,-2.5391,-2.2705,2.1729,41.80,336.83
2250,-2.7466,-2.3926,1.9775,41.06,340.20
2260,-2.4780,-2.5024,2.1240,45.28,336.80
2270,-2.7100,-2.4292,2.0386,41.87,339.39
2280,-2.4170,-2.5269,2.1118,46.27,336.40
2290,-2.4902,-2.3926,2.0630,43.85,337.50
2300,-2.4292,-2.3193,2.1118,43.67,336.51
2310,-2.5879,-2.4170,2.2461,43.04,336.54
2320,-2.8809,-2.6367,2.0508,42.47,340.41
2330,-2.6489,-2.7710,2.2217,46.29,337.25
2340,-2.6123,-2.4414,2.0874,43.06,338.22
2350,-2.3926,-2.5146,2.1729,46.42,335.58
2360,-2.6123,-2.3804,2.0630,42.34,338.45
2370,-2.5146,-2.6123,2.0630,46.09,337.70
2380,-2.7100,-2.4780,2.2095,42.44,337.82
