Time(ms),V_SIN(raw),V_COS(raw),AMR_Angle(deg)
10,1250,-26,45.60
20,1281,9,44.80
30,1299,-14,45.31
40,1264,9,44.80
50,1252,-27,45.62
60,1258,-21,45.48
70,1280,-3,45.07
80,1274,12,44.73
90,1266,4,44.91
100,1281,-23,45.51
110,1320,2,44.96
120,1253,-27,45.62
130,1249,-11,45.25
140,1272,9,44.80
150,1308,10,44.78
160,1272,-11,45.25
170,1252,-15,45.34
180,1252,-25,45.57
190,1282,-22,45.49
200,1276,-5,45.11
210,1250,-17,45.39
220,1281,10,44.78
230,1211,-16,45.38
240,1249,-13,45.30
250,1280,10,44.78
260,1276,8,44.82
270,1272,-20,45.45
280,1243,-25,45.58
290,1264,12,44.73
300,1242,-14,45.32
310,1225,-23,45.54
320,1245,-18,45.41
330,1275,5,44.89
340,1244,-23,45.53
350,1251,-22,45.50
360,1246,-30,45.69
370,1260,-12,45.27
380,1253,-21,45.48
390,1264,-4,45.09
400,1259,9,44.80
410,1265,4,44.91
420,1267,-7,45.16
430,1254,-4,45.09
440,1264,-10,45.23
450,1251,-23,45.53
460,1250,-15,45.34
470,1286,-15,45.33
480,1249,-26,45.60
490,1272,0,45.00
500,1278,8,44.82
510,1264,-11,45.25
520,1270,6,44.86
530,1280,-15,45.34
540,1216,1,44.98
550,1264,13,44.71
560,1242,-26,45.60
570,1266,12,44.73
580,1267,1,44.98
590,1261,7,44.84
600,1276,1,44.98
610,1243,-20,45.46
620,1268,9,44.80
630,1268,6,44.86
640,1302,-7,45.15
650,1276,8,44.82
660,1263,9,44.80
670,1276,1,44.98
680,1243,-6,45.14
690,1262,4,44.91
700,1248,-6,45.14
710,1236,-19,45.44
720,1229,-9,45.21
730,1268,10,44.77
740,1256,-21,45.48
750,1250,-27,45.62
760,1246,-12,45.28
770,1235,-13,45.30
780,1309,-3,45.07
790,1240,-18,45.42
800,1266,18,44.59
810,1262,-12,45.27
820,1238,-26,45.60
830,1281,-13,45.29
840,1273,1,44.98
850,1240,-20,45.46
860,1251,-23,45.53
870,1283,4,44.91
880,1214,-23,45.54
890,1245,-5,45.12
900,1253,-20,45.46
910,1277,1,44.98
920,1292,-15,45.33
930,1276,5,44.89
940,1242,-20,45.46
950,1250,-5,45.11
960,1241,-7,45.16
970,1213,-19,45.45
980,1272,-4,45.09
990,1241,-24,45.55
1000,1276,3,44.93
1010,1243,-24,45.55
1020,1280,-23,45.51
1030,1211,-15,45.35
1040,1245,3,44.93
1050,1253,8,44.82
1060,1251,-22,45.50
1070,1273,-3,45.07
1080,1300,6,44.87
1090,1234,-19,45.44
1100,1276,2,44.96
1110,1273,-6,45.14
1120,1261,-14,45.32
1130,1246,-27,45.62
1140,1272,-11,45.25
1150,1267,10,44.77
1160,1241,-23,45.53
1170,1272,5,44.89
1180,1265,-13,45.29
1190,1248,-26,45.60
1200,1256,-18,45.41
1210,1253,-20,45.46
1220,1238,-11,45.25
1230,1249,-24,45.55
1240,1278,-20,45.45
1250,1260,-13,45.30
1260,1237,-8,45.19
1270,1259,1,44.98
1280,1236,-11,45.25
1290,1265,5,44.89
1300,1266,2,44.95
1310,1275,6,44.87
1320,1298,1,44.98
1330,1237,-5,45.12
1340,1257,-11,45.25
1350,1254,-14,45.32
1360,1237,-11,45.25
1370,1243,-4,45.09
1380,1260,4,44.91
1390,1254,8,44.82
1400,1228,-13,45.30
1410,1238,-25,45.58
1420,1277,-8,45.18
1430,1235,-24,45.56
1440,1242,-22,45.51
1450,1262,1,44.98
1460,1264,1,44.98
1470,1269,2,44.95
1480,1232,-21,45.49
1490,1259,-6,45.14
1500,1285,8,44.82
1510,1251,-5,45.11
1520,1233,2,44.95
1530,1233,-20,45.46
1540,1254,-8,45.18
1550,1248,1,44.98
1560,1244,1,44.98
1570,1246,-11,45.25
1580,1283,10,44.78
1590,1236,-28,45.65
1600,1241,-23,45.53
1610,1237,-23,45.53
1620,1249,-13,45.30
1630,1290,11,44.76
1640,1263,-5,45.11
